Area,Latitude,Longitude,average_rating,Final Score,mapped_categories
"Adyar, Chennai",12.9715987,77.5945627,4.384615385,0.5065947524347826,"Adventure and Recreation, Beach and Water, Educational and Research, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious"
"Alambagh, Lucknow",12.9715987,77.5945627,4.384615385,0.5084318620434782,"Adventure and Recreation, Educational and Research, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious, Shopping and Urban"
"Aluva, Kochi",12.9715987,77.5945627,4.384615385,0.502843987,"Adventure and Recreation, Beach and Water, Educational and Research, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious, Shopping and Urban, Transportation and Services"
"Amber Fort, Jaipur",26.9880088,75.861032,4.552380952,0.6405432596,"Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious"
"Aminabad, Lucknow",12.9715987,77.5945627,4.384615385,0.49705927871428573,"Adventure and Recreation, Beach and Water, Educational and Research, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious, Shopping and Urban"
"Anjuna, Goa",15.5821399,73.7527607,4.25,0.304225352,"Accommodation and Wellness, Adventure and Recreation, Beach and Water, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious"
"Anna Nagar, Chennai",12.9715987,77.5945627,4.384615385,0.5099789017368421,"Adventure and Recreation, Educational and Research, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious, Shopping and Urban"
"Baga Beach, Goa",12.9715987,77.5945627,4.384615385,0.502843987,"Adventure and Recreation, Beach and Water, Educational and Research, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious, Shopping and Urban"
"Ballygunge, Kolkata",12.9715987,77.5945627,4.384615385,0.5063651137499999,"Adventure and Recreation, Beach and Water, Educational and Research, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious"
"Banjara Hills, Hyderabad",12.9715987,77.5945627,4.384615385,0.5063651137499999,"Adventure and Recreation, Beach and Water, Educational and Research, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious, Shopping and Urban"
"Bapu Bazar, Jaipur",26.9194772,75.8236163,4.539285714,0.6370120725999999,"Adventure and Recreation, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious, Shopping and Urban, Transportation and Services"
"Bara Imambara, Lucknow",26.8466937,80.946166,4.186666667,0.29507042233333336,"Adventure and Recreation, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious"
"Begumpet, Hyderabad",12.9715987,77.5945627,4.384615385,0.5063651137499999,"Adventure and Recreation, Beach and Water, Educational and Research, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious, Shopping and Urban"
"Besant Nagar, Chennai",12.9715987,77.5945627,4.384615385,0.49705927871428573,"Adventure and Recreation, Beach and Water, Educational and Research, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious, Shopping and Urban"
"Bodakdev, Ahmedabad",23.0386593,72.5118581,4.45,0.545774648,"Adventure and Recreation, Educational and Research, Heritage and Culture, Nature and Wildlife"
"Bolgatty, Kochi",12.9715987,77.5945627,4.384615385,0.5030040381818182,"Adventure and Recreation, Beach and Water, Educational and Research, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious, Shopping and Urban"
"C Scheme, Jaipur",12.9715987,77.5945627,4.384615385,0.5084318620869565,"Adventure and Recreation, Beach and Water, Educational and Research, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious, Shopping and Urban"
"CG Road, Ahmedabad",23.022505,72.5713621,4.473684211,0.5379911044210527,"Adventure and Recreation, Beach and Water, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious, Shopping and Urban, Transportation and Services"
"Calangute Beach, Goa",12.9715987,77.5945627,4.384615385,0.5063651137499999,"Adventure and Recreation, Beach and Water, Educational and Research, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious, Shopping and Urban"
"Candolim, Goa",12.9715987,77.5945627,4.384615385,0.49897074750000003,"Adventure and Recreation, Beach and Water, Educational and Research, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious, Shopping and Urban"
"Chadwick Falls, Shimla",31.104963,77.1639874,4.4125,0.5096830986249999,"Accommodation and Wellness, Adventure and Recreation, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious, Transportation and Services"
"Chail, Shimla",30.9676214,77.1916497,4.65,0.7147887325,"Entertainment and Leisure, Religious"
"Chandkheda, Ahmedabad",23.109098,72.5849179,4.5,0.588028169,Religious
"Char Chinar, Srinagar",12.9467756,77.5519109,4.590909091,0.6729193341,"Beach and Water, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious, Shopping and Urban"
"Charbagh, Lucknow",12.9715987,77.5945627,4.384615385,0.49580173345833334,"Adventure and Recreation, Beach and Water, Educational and Research, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious, Shopping and Urban"
"Charminar, Hyderabad",17.406498,78.4772439,4.385714286,0.47635814885714284,"Adventure and Recreation, Educational and Research, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious"
"Cherai Beach, Kochi",12.9715987,77.5945627,4.384615385,0.5029205332173913,"Adventure and Recreation, Beach and Water, Educational and Research, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious"
"Chowk, Lucknow",13.0837232,77.6358287,4.0,0.059859155,"Entertainment and Leisure, Heritage and Culture"
"City Palace, Jaipur",12.9715987,77.5945627,4.384615385,0.49924631399999997,"Adventure and Recreation, Beach and Water, Educational and Research, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious, Shopping and Urban"
"Colva Beach, Goa",12.9715987,77.5945627,4.384615385,0.49939328276,"Adventure and Recreation, Beach and Water, Educational and Research, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious, Shopping and Urban"
"Dal Lake, Srinagar",12.9467756,77.5519109,4.590909091,0.6648527528181818,"Accommodation and Wellness, Adventure and Recreation, Beach and Water, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious"
"Dilsukhnagar, Hyderabad",12.9715987,77.5945627,4.384615385,0.49932286020833333,"Adventure and Recreation, Beach and Water, Educational and Research, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious, Shopping and Urban"
"Dona Paula, Goa",12.9715987,77.5945627,4.384615385,0.4953215798181818,"Adventure and Recreation, Beach and Water, Educational and Research, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious, Shopping and Urban"
"Dumdum, Kolkata",12.9715987,77.5945627,4.384615385,0.49939328276,"Adventure and Recreation, Beach and Water, Educational and Research, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious, Shopping and Urban, Transportation and Services"
"Edappally, Kochi",12.9715987,77.5945627,4.384615385,0.502843987,"Adventure and Recreation, Beach and Water, Educational and Research, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious, Shopping and Urban"
"Elante Mall, Chandigarh",12.9715987,77.5945627,4.384615385,0.5104730949444445,"Adventure and Recreation, Educational and Research, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious"
"Ernakulam, Kochi",9.9816358,76.2998842,4.54,0.552112676,"Accommodation and Wellness, Religious"
"Esplanade, Kolkata",12.9786823,77.636537,4.54,0.628403756,"Accommodation and Wellness, Adventure and Recreation, Heritage and Culture, Nature and Wildlife, Religious, Transportation and Services"
"Fort Kochi, Kochi",12.9715987,77.5945627,4.384615385,0.5010834236086957,"Adventure and Recreation, Beach and Water, Educational and Research, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious, Shopping and Urban"
"Gachibowli, Hyderabad",17.4400802,78.3489168,4.3,0.419014085,"Entertainment and Leisure, Nature and Wildlife"
"Garia, Kolkata",12.9715987,77.5945627,4.384615385,0.502843987,"Adventure and Recreation, Beach and Water, Educational and Research, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious, Shopping and Urban"
"Gomti Nagar, Lucknow",26.8496217,81.0072193,4.366666667,0.5105633803333333,"Adventure and Recreation, Heritage and Culture, Nature and Wildlife, Religious, Shopping and Urban"
"Guindy, Chennai",12.9715987,77.5945627,4.384615385,0.49939328276,"Adventure and Recreation, Beach and Water, Educational and Research, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious, Shopping and Urban"
"Gulmarg, Srinagar",12.9467756,77.5519109,4.590909091,0.6648527528181818,"Adventure and Recreation, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious, Transportation and Services"
"Hawa Mahal, Jaipur",12.9715987,77.5945627,4.384615385,0.49580173345833334,"Adventure and Recreation, Beach and Water, Educational and Research, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious"
"Hazratganj, Lucknow",12.9715987,77.5945627,4.384615385,0.510686496590909,"Adventure and Recreation, Educational and Research, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious, Shopping and Urban"
"Hitech City, Hyderabad",12.9715987,77.5945627,4.384615385,0.49939328276,"Adventure and Recreation, Beach and Water, Educational and Research, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious, Shopping and Urban"
"Indira Nagar, Lucknow",26.8466937,80.946166,4.186666667,0.2976861165,"Adventure and Recreation, Educational and Research, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious, Transportation and Services"
"Jakhoo Temple, Shimla",12.9715987,77.5945627,4.384615385,0.49939328276,"Adventure and Recreation, Beach and Water, Educational and Research, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious, Shopping and Urban"
"Jal Mahal, Jaipur",12.9715987,77.5945627,4.384615385,0.5145277257727273,"Adventure and Recreation, Educational and Research, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious"
"Johari Bazar, Jaipur",12.9715987,77.5945627,4.384615385,0.49580173345833334,"Adventure and Recreation, Beach and Water, Educational and Research, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious, Shopping and Urban"
"Jubilee Hills, Hyderabad",12.9715987,77.5945627,4.384615385,0.5102689716956522,"Adventure and Recreation, Beach and Water, Educational and Research, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious, Shopping and Urban"
"Kondapur, Hyderabad",12.9715987,77.5945627,4.384615385,0.5145277258181818,"Adventure and Recreation, Beach and Water, Educational and Research, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious, Shopping and Urban"
"Kufri, Shimla",12.9715987,77.5945627,4.384615385,0.49580173345833334,"Adventure and Recreation, Beach and Water, Educational and Research, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious, Shopping and Urban, Transportation and Services"
"Lakkar Bazaar, Shimla",31.1058233,77.1787114,4.38,0.4707746478,"Accommodation and Wellness, Adventure and Recreation, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious, Shopping and Urban, Transportation and Services"
"Lal Chowk, Srinagar",34.0698315,74.8090391,4.26,0.3852112676,"Heritage and Culture, Religious, Shopping and Urban, Transportation and Services"
"Mall Road, Shimla",12.9715987,77.5945627,4.384615385,0.49228060670833335,"Adventure and Recreation, Beach and Water, Educational and Research, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious, Shopping and Urban"
"Malviya Nagar, Jaipur",12.9715987,77.5945627,4.384615385,0.5151679306666667,"Adventure and Recreation, Beach and Water, Educational and Research, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious, Shopping and Urban"
"Manimajra, Chandigarh",30.720226,76.8374945,4.3,0.419014085,"Heritage and Culture, Shopping and Urban"
"Maninagar, Ahmedabad",22.995165,72.604097,4.427272727,0.5265685019,"Adventure and Recreation, Beach and Water, Educational and Research, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious"
"Mansarovar, Jaipur",12.9715987,77.5945627,4.384615385,0.5063651137499999,"Adventure and Recreation, Beach and Water, Educational and Research, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious, Shopping and Urban, Transportation and Services"
"Mapusa, Goa",15.5901641,73.809958,4.65,0.7147887325,"Heritage and Culture, Religious"
"Margao, Goa",15.2859239,73.9786914,4.3,0.38380281666666666,"Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious"
"Marina Beach, Chennai",12.9715987,77.5945627,4.384615385,0.48087521782608694,"Adventure and Recreation, Beach and Water, Educational and Research, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious, Shopping and Urban"
"Marine Drive, Kochi",9.9771685,76.2773228,4.375,0.4647887325,"Accommodation and Wellness, Adventure and Recreation, Beach and Water, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious, Transportation and Services"
"Mashobra, Shimla",31.1296226,77.2283453,4.6,0.707746479,"Accommodation and Wellness, Adventure and Recreation, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife"
"Mattancherry, Kochi",12.9715987,77.5945627,4.384615385,0.49939328276,"Adventure and Recreation, Beach and Water, Educational and Research, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious, Shopping and Urban"
"Mehdipatnam, Hyderabad",12.9715987,77.5945627,4.384615385,0.4968580715,"Adventure and Recreation, Beach and Water, Educational and Research, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious, Shopping and Urban"
"Morni Hills, Chandigarh",12.9715987,77.5945627,4.384615385,0.4974092043478261,"Adventure and Recreation, Beach and Water, Educational and Research, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious, Transportation and Services"
"Mughal Gardens, Srinagar",12.9467756,77.5519109,4.590909091,0.6648527528181818,"Adventure and Recreation, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious"
"Mylapore, Chennai",12.9715987,77.5945627,4.384615385,0.5111437857619048,"Adventure and Recreation, Educational and Research, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious, Shopping and Urban"
"Navrangpura, Ahmedabad",23.0365437,72.5611395,4.55,0.6701877935555556,"Adventure and Recreation, Heritage and Culture, Nature and Wildlife, Religious, Shopping and Urban, Transportation and Services"
"New Town Rajarhat, Kolkata",22.5785868,88.471852,4.481818182,0.599551856875,"Adventure and Recreation, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Shopping and Urban, Transportation and Services"
"Nigeen Lake, Srinagar",12.9467756,77.5519109,4.590909091,0.6648527528181818,"Adventure and Recreation, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious, Transportation and Services"
"Pahalgam, Srinagar",12.9467756,77.5519109,4.590909091,0.6648527528181818,"Adventure and Recreation, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious, Transportation and Services"
"Panaji, Goa",12.9715987,77.5945627,4.384615385,0.48498684409523807,"Adventure and Recreation, Beach and Water, Educational and Research, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious, Shopping and Urban"
"Panchkula, Chandigarh",30.6942091,76.860565,4.4,0.4330985916666667,"Adventure and Recreation, Nature and Wildlife"
"Pari Mahal, Srinagar",12.9467756,77.5519109,4.590909091,0.6648527528181818,"Adventure and Recreation, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious, Shopping and Urban, Transportation and Services"
"Park Street, Kolkata",12.9715987,77.5945627,4.384615385,0.49939328276,"Adventure and Recreation, Beach and Water, Educational and Research, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious, Shopping and Urban"
"Perungudi, Chennai",12.9715987,77.5945627,4.384615385,0.48840736729999995,"Adventure and Recreation, Beach and Water, Educational and Research, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious, Shopping and Urban"
"Prahlad Nagar, Ahmedabad",23.0120338,72.510754,4.85,0.873239437,"Educational and Research, Heritage and Culture"
"Qaiserbagh, Lucknow",12.9715987,77.5945627,4.384615385,0.5029205332173913,"Adventure and Recreation, Beach and Water, Educational and Research, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious, Shopping and Urban"
"Rock Garden, Chandigarh",12.9715987,77.5945627,4.384615385,0.49939328276,"Adventure and Recreation, Beach and Water, Educational and Research, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious, Shopping and Urban"
"Rose Garden, Chandigarh",30.7333148,76.7794179,4.441176471,0.5480826132142858,"Adventure and Recreation, Educational and Research, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious, Transportation and Services"
"Rumi Darwaza, Lucknow",26.8466937,80.946166,4.186666667,0.29507042233333336,"Adventure and Recreation, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious"
"Sabarmati Ashram, Ahmedabad",23.022505,72.5713621,4.473684211,0.5379911044210527,"Adventure and Recreation, Beach and Water, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious, Shopping and Urban, Transportation and Services"
"Salt Lake City, Kolkata",22.5796842,88.414312,4.375,0.48239436575,"Adventure and Recreation, Beach and Water, Entertainment and Leisure, Nature and Wildlife"
"Satellite, Ahmedabad",12.9715987,77.5945627,4.384615385,0.49939328276,"Adventure and Recreation, Beach and Water, Educational and Research, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious, Shopping and Urban"
"Sector 17, Chandigarh",30.7410517,76.779015,4.407692308,0.5101694078181818,"Adventure and Recreation, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious, Transportation and Services"
"Sector 22, Chandigarh",12.9715987,77.5945627,4.384615385,0.5031960997,"Adventure and Recreation, Beach and Water, Educational and Research, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious, Shopping and Urban"
"Sector 7, Chandigarh",30.7333148,76.7794179,4.441176471,0.5455675226666666,"Adventure and Recreation, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious, Transportation and Services"
"Secunderabad, Hyderabad",12.9715987,77.5945627,4.384615385,0.5065947524782609,"Adventure and Recreation, Beach and Water, Educational and Research, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious, Shopping and Urban"
"Shankaracharya Temple, Srinagar",12.9467756,77.5519109,4.590909091,0.6733888176666666,"Adventure and Recreation, Heritage and Culture, Nature and Wildlife, Religious"
"Shyambazar, Kolkata",22.5982031,88.3686866,4.561538462,0.64219935,"Accommodation and Wellness, Educational and Research, Heritage and Culture, Religious, Shopping and Urban, Transportation and Services"
"Sonamarg, Srinagar",12.9467756,77.5519109,4.590909091,0.6644686299,"Adventure and Recreation, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious, Transportation and Services"
"Sukhna Lake, Chandigarh",30.7333148,76.7794179,4.441176471,0.5480826132142858,"Adventure and Recreation, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious, Transportation and Services"
"Summer Hill, Shimla",12.9715987,77.5945627,4.384615385,0.49932286020833333,"Adventure and Recreation, Beach and Water, Educational and Research, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious, Shopping and Urban"
"T Nagar, Chennai",12.9715987,77.5945627,4.384615385,0.49939328276,"Adventure and Recreation, Beach and Water, Educational and Research, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious, Shopping and Urban"
"The Ridge, Shimla",12.9715987,77.5945627,4.384615385,0.49939328276,"Adventure and Recreation, Beach and Water, Educational and Research, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious, Shopping and Urban"
"Thiruvanmiyur, Chennai",12.9715987,77.5945627,4.384615385,0.4966356845789474,"Adventure and Recreation, Beach and Water, Educational and Research, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious, Shopping and Urban"
"Thrippunithura, Kochi",12.9715987,77.5945627,4.384615385,0.49939328276,"Adventure and Recreation, Beach and Water, Educational and Research, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious, Shopping and Urban"
"Tollygunge, Kolkata",12.9715987,77.5945627,4.384615385,0.49939328276,"Adventure and Recreation, Beach and Water, Educational and Research, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious, Shopping and Urban, Transportation and Services"
"Vaishali Nagar, Jaipur",26.9124336,75.7872709,4.42,0.53309859175,"Adventure and Recreation, Heritage and Culture, Nature and Wildlife, Transportation and Services"
"Vasco Da Gama, Goa",15.3889103,73.8165873,4.3,0.383802817,"Adventure and Recreation, Beach and Water, Heritage and Culture, Religious"
"Vastrapur, Ahmedabad",23.0376238,72.5277849,4.45,0.545774648,"Adventure and Recreation, Educational and Research, Heritage and Culture, Nature and Wildlife"
"Velachery, Chennai",12.9715987,77.5945627,4.384615385,0.5051075684761904,"Adventure and Recreation, Beach and Water, Educational and Research, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious, Shopping and Urban"
"Vyttila, Kochi",12.9715987,77.5945627,4.384615385,0.5087658820454546,"Adventure and Recreation, Beach and Water, Educational and Research, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious, Shopping and Urban"
